annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2014;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5037;89;;;85;63;43;70;97;2000;31200;1680;2400;23;;9.3;1870;;1480;2280;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;12709;95;91;81;92;68;42;84;99;2300;35900;1950;2730;24;60;6.9;2020;;1530;2510;disc01_30;4;4;75;0;;13;0;1;0;0;0;1;79;14;71;2;7;2;0;0;0;1;10;2;2;14;9;18;13;5;3;12;6;1;4;0;2;2;9;57;4;20;1;0;5
2019;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;13159;89;;;88;61;41;72;97;2050;34300;1730;2430;26;60;7.2;1980;;1480;2480;disc01_18;2;3;66;0;;23;0;2;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;7;53;4;23;1;0;9
2020;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;7683;95;91;82;91;64;41;83;98;2200;34300;1890;2600;25;;6.9;2020;;1530;2510;disc01_30;3;5;75;0;;15;0;1;0;0;0;1;76;15;68;2;8;2;0;0;0;1;9;2;2;14;8;16;13;5;3;13;8;1;5;0;1;2;9;53;4;22;1;0;7
2016;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5270;92;;;88;68;43;74;98;2060;32100;1730;2490;23;;8.5;1830;;1450;2180;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;13165;94;;;91;68;42;83;98;2200;34300;1830;2620;26;59;7.8;1900;;1470;2330;disc01_30;4;4;75;0;;14;0;1;0;0;0;2;3;12;72;3;7;2;1;0;0;1;10;2;3;14;10;19;11;5;3;10;5;2;5;;2;2;8;59;3;20;1;0;6
2018;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;;93;;;92;65;40;77;98;2020;31400;1730;2400;31;;7.8;1930;SD36;1490;2380;disc02_01_30;4;9;63;0;;20;0;1;0;0;0;1;3;25;52;3;10;6;1;0;0;1;4;3;5;4;4;17;15;5;3;22;8;3;5;0;1;4;14;47;7;20;1;0;6
2014;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2753;88;;;78;51;39;57;94;1770;27600;1450;2130;27;70;9.3;1870;SD36;1480;2280;disc02_01_18;4;9;44;;0;37;1;2;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;13;38;7;20;3;1;18
2019;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;3087;96;;;92;67;39;76;97;2100;32800;1780;2500;30;72;7.2;1980;SD36;1480;2480;disc02_01_30;5;12;59;0;;22;0;1;0;0;0;0;3;30;48;2;9;6;1;0;0;1;5;3;5;5;5;16;13;6;4;24;7;2;6;0;1;5;19;43;10;15;2;0;5
2019;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;3087;90;;;88;60;39;63;96;1950;32800;1600;2280;30;72;7.2;1980;SD36;1480;2480;disc02_01_18;3;10;51;0;;34;1;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;17;40;10;17;3;0;8
