session;type_du_diplome;filiere;diplome;intitule_du_diplome;code_du_diplome;scolaires_presents;scolaires_admis;taux_de_reussite_scolaire;apprentis_presents;apprentis_admis;taux_de_reussite_en_apprentissage;formation_continue_presents;formation_continue_admis;taux_de_reussite_en_formation_continue;individuels_presents;individuels_admis;taux_de_reussite_individuel;enseignement_a_distance_presents;enseignement_a_distance_admis;taux_de_reussite_enseignement_a_distance;total_presents;total_admis;taux_de_reussite_total;diplome_court
2019;MC4;Aéronautique;MC4 25309 AERON.OPT.AVION.MOT.PIST. (MC4);AERON.OPT.AVION.MOT.PIST. (MC4);25309;;;;6;6;1.0;;;;;;;;;;6;6;1.0;MC4 AERON.OPT.AVION.MOT.PIST. (MC4)
2019;MC4;Electricité, électronique/numérique, environnement;MC4 22703 TECHN.DES SERVICES ENERGIE (MC4);TECHN.DES SERVICES ENERGIE (MC4);22703;;;;;;;8;6;0.75;;;;;;;8;6;0.75;MC4 TECHN.DES SERVICES ENERGIE (MC4)
2019;MC4;Productique, mécanique, automatisation;MC4 25116 MAINT.INSTAL.OLEOHYDRAU.PNEUM.;MAINT.INSTAL.OLEOHYDRAU.PNEUM.;25116;;;;17;17;1.0;;;;;;;;;;17;17;1.0;MC4 MAINT.INSTAL.OLEOHYDRAU.PNEUM.
2019;MC5;Alimentation, hôtellerie, restauration, tourisme;MC5 22105 CUISINIER DESSERTS RESTAU.;CUISINIER DESSERTS RESTAU.;22105;77;74;0.961038961038961;224;209;0.933035714285714;13;12;0.923076923076923;;;;;;;314;295;0.9394904458598726;MC5 CUISINIER DESSERTS RESTAU.
2019;MC5;Alimentation, hôtellerie, restauration, tourisme;MC5 22107 BOULANGERIE SPECIALISEE (MC5);BOULANGERIE SPECIALISEE (MC5);22107;;;;182;149;0.818681318681319;;;;;;;;;;182;149;0.8186813186813187;MC5 BOULANGERIE SPECIALISEE (MC5)
2019;MC5;Electricité, électronique/numérique, environnement;MC5 22701 MAINTENAN.EQUIPEMT THERMIQ.INDIV.;MAINTENAN.EQUIPEMT THERMIQ.INDIV.;22701;8;6;0.75;78;71;0.91025641025641;3;3;1.0;;;;;;;89;80;0.898876404494382;MC5 MAINTENAN.EQUIPEMT THERMIQ.INDIV.
2019;MC5;Gestion-administration, transport, logistique, sécurité;MC5 34402 SECU.CIVILE ET D'ENTREPRISE (MC5;SECU.CIVILE ET D'ENTREPRISE (MC5;34402;19;19;1.0;9;9;1.0;4;4;1.0;;;;;;;32;32;1.0;MC5 SECU.CIVILE ET D'ENTREPRISE (MC5
2019;MC5;Métiers d'art;MC5 22304 JOAILLERIE;JOAILLERIE;22304;;;;34;32;0.941176470588235;15;14;0.933333333333333;;;;;;;49;46;0.9387755102040817;MC5 JOAILLERIE
2020;BAC PRO;Alimentation, hôtellerie, restauration, tourisme;BAC PRO 33403 COMMERC. SERVICES EN RESTAURATION;COMMERC. SERVICES EN RESTAURATION;33403;3393;3149;0.928087238432066;190;168;0.884210526315789;4;4;1.0;;;;;;;3587;3321;0.925843323111235;BAC PRO COMMERC. SERVICES EN RESTAURATION
2020;BAC PRO;Construction, bâtiment, travaux publics;BAC PRO 23102 TRAVAUX PUBLICS;TRAVAUX PUBLICS;23102;515;481;0.933980582524272;161;156;0.968944099378882;6;6;1.0;;;;;;;682;643;0.9428152492668622;BAC PRO TRAVAUX PUBLICS
2020;BAC PRO;Mer;BAC PRO 25009 MAINTENANCE NAUTIQUE;MAINTENANCE NAUTIQUE;25009;407;370;0.909090909090909;20;18;0.9;;;;;;;;;;427;388;0.9086651053864169;BAC PRO MAINTENANCE NAUTIQUE
2020;BAC PRO;Productique, mécanique, automatisation;BAC PRO 23406 TECHNICIEN DE SCIERIE;TECHNICIEN DE SCIERIE;23406;12;12;1.0;3;2;0.666666666666667;5;4;0.8;;;;;;;20;18;0.9;BAC PRO TECHNICIEN DE SCIERIE
2020;BAC PRO;Productique, mécanique, automatisation;BAC PRO 25006 MICROTECHNIQUES;MICROTECHNIQUES;25006;729;654;0.897119341563786;5;5;1.0;;;;;;;;;;734;659;0.8978201634877384;BAC PRO MICROTECHNIQUES
2020;BAC PRO;Santé, social, services à la personne et à la collectivité;BAC PRO 33002 SERVICES DE PROXIMITE  VIE LOCAL;SERVICES DE PROXIMITE  VIE LOCAL;33002;2669;2468;0.924690895466467;4;4;1.0;;;;;;;;;;2673;2472;0.9248035914702581;BAC PRO SERVICES DE PROXIMITE  VIE LOCAL
2020;BAC PRO;Santé, social, services à la personne et à la collectivité;BAC PRO 33602 PERRUQUIER POSTICHEUR;PERRUQUIER POSTICHEUR;33602;32;30;0.9375;;;;;;;;;;;;;32;30;0.9375;BAC PRO PERRUQUIER POSTICHEUR
2020;BAC PRO;Santé, social, services à la personne et à la collectivité;BAC PRO 33603 ESTHETIQUE COSMETIQUE PARFUMERIE;ESTHETIQUE COSMETIQUE PARFUMERIE;33603;2030;1956;0.963546798029557;;;;;;;;;;1;1;1.0;2031;1957;0.9635647464303299;BAC PRO ESTHETIQUE COSMETIQUE PARFUMERIE
2020;BP;Alimentation, hôtellerie, restauration, tourisme;BP 22109 ARTS DE LA CUISINE;ARTS DE LA CUISINE;22109;;;;252;231;0.916666666666667;1;1;1.0;;;;;;;253;232;0.9169960474308301;BP ARTS DE LA CUISINE
